Model,Acc (No Weight),Acc (With Weight),Acc Improvement,F1-Macro (No Weight),F1-Macro (With Weight),F1-Macro Improvement,F1-Weighted (No Weight),F1-Weighted (With Weight),F1-Weighted Improvement,F1-Negative (No),F1-Negative (With),F1-Negative (Improve),F1-Neutral (No),F1-Neutral (With),F1-Neutral (Improve),F1-Positive (No),F1-Positive (With),F1-Positive (Improve)
Svm,0.857976653696498,0.8657587548638133,0.0077821011673152585,0.49367478639072915,0.5420543688421023,0.04837958245137319,0.8142579091362313,0.8356629605106146,0.02140505137438331,0.5063291139240507,0.5617977528089888,0.05546863888493814,0.05263157894736842,0.13043478260869565,0.07780320366132723,0.9220636663007684,0.9339305711086227,0.01186690480785424
Random Forest,0.8540856031128404,0.8482490272373541,-0.005836575875486361,0.5035889238384984,0.46678103893293765,-0.03680788490556075,0.815819740004065,0.8028294416512906,-0.012990298352774432,0.4883720930232558,0.43037974683544306,-0.05799234618781274,0.1,0.05128205128205128,-0.048717948717948725,0.9223946784922394,0.9186813186813186,-0.003713359810920802
Logistic Regression,0.8540856031128404,0.8482490272373541,-0.005836575875486361,0.4812198568784754,0.6280610920661887,0.14684123518771325,0.8099208810452575,0.8526220472877796,0.04270116624252207,0.4691358024691358,0.6218487394957983,0.15271293702666255,0.05263157894736842,0.3333333333333333,0.2807017543859649,0.9218921892189219,0.9290012033694344,0.0071090141505124604
